context_id,country,ADMN,mandate_type,mandate_num,timing_cat,outcome,pop_cat,pol_cat,N,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19,model_20
1,USA,2,restaurant,first,Mar-Apr 2020,visits to restaurants,big,D,157,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,USA,2,restaurant,first,Mar-Apr 2020,visits to restaurants,big,M,182,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,USA,2,restaurant,first,Mar-Apr 2020,visits to restaurants,big,R,238,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,USA,2,restaurant,first,Mar-Apr 2020,visits to restaurants,small,D,142,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,USA,2,restaurant,first,Mar-Apr 2020,visits to restaurants,small,M,228,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6,USA,2,restaurant,first,Mar-Apr 2020,visits to restaurants,small,R,2017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,USA,2,restaurant,second,Jun-Dec 2020,visits to restaurants,big,D,32,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
8,USA,2,restaurant,second,Jun-Dec 2020,visits to restaurants,big,M,43,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
9,USA,2,restaurant,second,Jun-Dec 2020,visits to restaurants,big,R,33,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
10,USA,2,restaurant,second,Jun-Dec 2020,visits to restaurants,small,D,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11,USA,2,restaurant,second,Jun-Dec 2020,visits to restaurants,small,M,40,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
12,USA,2,restaurant,second,Jun-Dec 2020,visits to restaurants,small,R,287,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
13,USA,2,bar,first,Mar-Apr 2020,visits to bars,big,D,155,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14,USA,2,bar,first,Mar-Apr 2020,visits to bars,big,M,170,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,USA,2,bar,first,Mar-Apr 2020,visits to bars,big,R,193,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,USA,2,bar,first,Mar-Apr 2020,visits to bars,small,D,46,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,USA,2,bar,first,Mar-Apr 2020,visits to bars,small,M,76,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
18,USA,2,bar,first,Mar-Apr 2020,visits to bars,small,R,369,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
19,USA,2,bar,second,Jun-Dec 2020,visits to bars,big,D,13,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
20,USA,2,bar,second,Jun-Dec 2020,visits to bars,big,M,21,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
21,USA,2,bar,second,Jun-Dec 2020,visits to bars,big,R,5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
22,USA,2,bar,second,Jun-Dec 2020,visits to bars,small,D,9,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
23,USA,2,bar,second,Jun-Dec 2020,visits to bars,small,M,15,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
24,USA,2,bar,second,Jun-Dec 2020,visits to bars,small,R,50,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
